ags,name,verwaltungsform,bev_30_06,schulden_gesamt_eur,kredite_eur,kassenkredite_eur
01054201,Simonsberg,50,846,811759,-,-
01054201,Süderhöft,50,17,220000,-,-
01054201,Südermarsch,50,144,-,-,-
01054201,Uelvesbüll,50,305,1181568,-,-
01054201,Winnert,50,722,1335011,1231216,103795
01054201,Wisch,50,110,200994,-,-
01054201,Wittbek,50,811,931846,-,-
01054201,Witzwort,50,1036,1339143,1339143,-
01054201,Wobbenbüll,50,454,401881,401881,-
01054300,Ahrenviöl,50,522,-,-,-
01054300,Ahrenviölfeld,50,228,430303,-,-
01054300,Behrendorf,50,576,1260128,1260128,-
01054300,Bondelum,50,181,200000,-,-
01054300,"Friedrichstadt, Stadt",41,2573,21088856,-,4750000
01054300,Haselund,50,943,1154097,1154097,-
01054300,Immenstedt,50,690,909622,-,-
01054300,Löwenstedt,50,702,552704,552704,-
01054300,Norstedt,50,376,200000,-,-
01054300,"Viöl, Amtsverwaltung",55,9528,1283030,-,-
01054301,Oster-Ohrstedt,50,677,-,-,-
01054301,Schwesing,50,946,1514750,1514750,-
01054301,Sollwitt,50,314,497352,497352,-
01054301,Viöl,50,2268,14708423,-,-
01054301,Wester-Ohrstedt,50,1105,2096561,-,-
01054400,Ahrenshöft,50,553,-,-,-
01054400,Almdorf,50,536,720291,-,-
01054400,Bargum,50,661,1164700,1164700,-
01054400,Bohmstedt,50,805,-,-,-
01054400,Bordelum,50,2055,759618,759618,-
01054400,"Bredstedt, Stadt",50,5714,8833973,7380916,-
01054400,Breklum,50,2362,2993954,2993954,-
01054400,Drelsdorf,50,1280,1170000,1170000,-
01054400,Goldebek,50,386,-,-,-
01054400,Goldelund,50,407,640588,623215,-
01054400,Högel,50,474,315757,-,-
01054400,Joldelund,50,834,7636,-,-
01054400,Kolkerheide,50,84,-,-,-
01054400,Langenhorn,50,3334,45417,-,-
01054400,Lütjenholm,50,354,-,-,-
01054400,"Mittleres Nordfriesland, Amtsverwaltung",55,21684,333834,333834,-
01054400,Ockholm,50,324,-,-,-
01054401,Struckum,50,1018,899628,-,-
01054401,Sönnebüll,50,314,-,-,-
01054401,Vollstedt,50,189,-,-,-
01054600,"Husum, Stadt",41,23914,14731833,14722114,-
01054700,"Eiderstedt, Amtsverwaltung",55,11221,6900987,-,-
01054700,"Garding, Kirchspiel",50,309,189625,-,-
01054700,"Garding, Stadt",50,2789,18425814,-,-
01054700,Grothusenkoog,50,24,206591,-,-
01054700,Katharinenheerd,50,164,405615,-,-
01054700,Kotzenbüll,50,183,101720,101720,-
01054700,Norderfriedrichskoog,50,51,-,-,-
01054700,Oldenswort,50,1261,12208890,-,-
01054701,Osterhever,50,221,-,-,-
01054701,Poppenbüll,50,242,234762,-,-
01054701,Sankt Peter-Ording,50,3756,7901271,-,-
01054701,Tating,50,1001,3638882,-,-
01054701,Tetenbüll,50,636,2012753,1295720,717033
01054701,Tümlauer Koog,50,100,-,-,-
01054701,Vollerwiek,50,208,-,-,-
01054701,Welt,50,186,235546,-,-
01054701,Westerhever,50,90,228591,228591,-
01054800,Alkersum,50,392,-,-,-
01054800,Borgsum,50,309,213917,-,-
01054800,Dunsum,50,72,-,-,-
01054800,"Föhr-Amrum, Amtsverwaltung",55,10478,22696768,22696768,-
01054800,Midlum,50,446,113891,-,-
01054800,Nebel,50,903,356789,356789,-
01054800,Nieblum,50,566,336429,-,-
01054800,Norddorf auf Amrum,50,557,273690,-,-
01054800,Oevenum,50,466,478783,-,-
01054800,Oldsum,50,568,628361,-,-
01054800,Reußenköge,41,310,162431,-,-
01054800,Sylt,41,14624,6267433,6267433,-
01054800,"Tönning, Stadt",41,4822,24648917,-,63278
01054801,Süderende,50,188,-,-,-
01054801,Utersum,50,398,1534272,-,-
01054801,Witsum,50,42,-,-,-
01054801,Wittdün auf Amrum,50,795,55874,55874,-
01054801,Wrixum,50,579,1165163,-,-
01054801,"Wyk auf Föhr, Stadt",50,4197,3923696,3923696,-
01054900,Achtrup,50,1557,1748888,1748888,-
01054900,Aventoft,50,409,587285,587285,-
01054900,Bosbüll,50,265,209179,-,-
01054900,Braderup,50,667,640000,-,-
01054900,Bramstedtlund,50,213,4830,-,-
01054900,Dagebüll,50,938,227439,-,-
01054900,Ellhöft,50,102,-,-,-
01054900,Friedrich-Wilhelm-Lübke-Koog,50,164,-,-,-
01054900,Gröde,50,7,313967,-,-
01054900,Hallig Hooge,50,108,2058216,-,-
01054900,Holm,50,101,-,-,-
01054900,Humptrup,50,760,150000,-,-
01054900,Hörnum (Sylt),50,889,2236531,-,-
01054900,Kampen (Sylt),50,525,195000,195000,-
01054900,Karlum,50,206,166374,-,-
01054900,Klanxbüll,50,1030,771393,-,-
01054900,Klixbüll,50,1047,775488,775488,-
01054900,Ladelund,50,1431,2343410,2343410,-
01054900,"Landschaft Sylt, Amtsverwaltung",55,4347,-,-,-
01054900,Langeneß,50,130,2289775,-,-
01054900,Leck,50,7889,18351799,209935,-
01054900,Lexgaard,50,56,-,-,-
01054900,List auf Sylt,50,1483,9109424,6132781,-
01054900,Neukirchen,50,1135,825024,-,-
01054900,"Niebüll, Stadt",50,10217,3203785,2489985,-
01054900,"Pellworm, Amtsverwaltung",55,1465,317441,317441,-
01054900,"Südtondern, Amtsverwaltung",55,40579,2738169,2738169,-
01054901,Emmelsbüll-Horsbüll,50,893,71500,71500,-
01054901,Enge-Sande,50,1176,2980657,-,427869
01054901,Galmsbüll,50,551,-,-,-
01054901,Pellworm,50,1220,3665929,3665929,-
01054901,Risum-Lindholm,50,3930,1711654,-,-
01054901,Rodenäs,50,406,-,-,-
01054901,Sprakebüll,50,280,297363,-,-
01054901,Stadum,50,931,700482,-,-
01054901,Stedesand,50,898,-,-,-
01054901,Süderlügum,50,2371,256934,-,-
01054901,Tinningstedt,50,243,46851,-,-
01054901,Uphusum,50,354,104745,104745,-
01054901,Wenningstedt-Braderup (Sylt),50,1450,13688666,-,-
01054901,Westre,50,359,2643,-,-
01055000,Dahme,41,1237,525600,525600,-
01055000,Stockelsdorf,41,16366,375000,375000,-
01055010,"Ostholstein, Kreisverwaltung",32,201766,29270279,305780,-
01055100,Ahrensbök,41,8241,4783948,418545,-
01055100,Altenkrempe,50,1069,216000,-,-
01055100,"Heiligenhafen, Stadt",41,9467,26612918,26612918,-
01055100,Kasseedorf,50,1425,2973016,367213,2605803
01055100,"Ostholstein-Mitte, Amtsverwaltung",55,8543,417394,417394,-
